Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.11846661e-01	2023-05-31T11:43:12.584084	-3.00000000e-01	-2.19930000e-08	1.36407039e+07	1.00000000e+00	1.81080000e-08	5.52242103e+07	1
5.70872087e-01	2023-05-31T11:43:12.743344	-3.00000000e-01	-1.47650000e-08	2.03183204e+07	1.00000000e+00	9.01000000e-09	1.10987791e+08	2
6.43219253e-01	2023-05-31T11:43:12.815698	-3.00000000e-01	-1.31790000e-08	2.27634874e+07	1.00000000e+00	1.55460000e-08	6.43252284e+07	3
7.16208061e-01	2023-05-31T11:43:12.888907	-3.00000000e-01	-5.42570000e-09	5.52924047e+07	1.00000000e+00	7.64890000e-09	1.30737753e+08	4
8.45727810e-01	2023-05-31T11:43:13.012937	-3.00000000e-01	-6.60690000e-09	4.54070744e+07	1.00000000e+00	7.93170000e-09	1.26076377e+08	5
9.28839707e-01	2023-05-31T11:43:13.093018	-3.00000000e-01	-5.16780000e-09	5.80517822e+07	1.00000000e+00	4.64030000e-09	2.15503308e+08	6
1.01899941e+00	2023-05-31T11:43:13.182965	-3.00000000e-01	-2.73040000e-09	1.09874011e+08	1.00000000e+00	3.87720000e-09	2.57918085e+08	7
1.10387049e+00	2023-05-31T11:43:13.272940	-3.00000000e-01	-4.64110000e-09	6.46398483e+07	1.00000000e+00	5.80520000e-09	1.72259354e+08	8
1.19118095e+00	2023-05-31T11:43:13.362972	-3.00000000e-01	-4.02810000e-09	7.44768005e+07	1.00000000e+00	3.11830000e-09	3.20687554e+08	9
1.28103624e+00	2023-05-31T11:43:13.452940	-3.00000000e-01	-1.79650000e-09	1.66991372e+08	1.00000000e+00	2.44610000e-09	4.08814030e+08	10
1.37101871e+00	2023-05-31T11:43:13.542941	-3.00000000e-01	-3.74010000e-09	8.02117590e+07	1.00000000e+00	4.85980000e-09	2.05769785e+08	11
1.44968466e+00	2023-05-31T11:43:13.612941	-3.00000000e-01	-3.46430000e-09	8.65975810e+07	1.00000000e+00	2.49640000e-09	4.00576831e+08	12
1.53787430e+00	2023-05-31T11:43:13.703100	-3.00000000e-01	-1.03480000e-09	2.89911094e+08	1.00000000e+00	1.80810000e-09	5.53066755e+08	13
1.62355851e+00	2023-05-31T11:43:13.792971	-3.00000000e-01	-3.30060000e-09	9.08925650e+07	1.00000000e+00	4.26160000e-09	2.34653651e+08	14
1.72064048e+00	2023-05-31T11:43:13.892972	-3.00000000e-01	-3.16920000e-09	9.46611132e+07	1.00000000e+00	2.18820000e-09	4.56996618e+08	15
1.80071770e+00	2023-05-31T11:43:13.972976	-3.00000000e-01	-2.35310000e-09	1.27491394e+08	1.00000000e+00	3.11620000e-09	3.20903665e+08	16
2.54650488e+00	2023-05-31T11:43:14.712950	-3.00000000e-01	-1.89510000e-09	1.58302992e+08	1.00000000e+00	2.69770000e-09	3.70686140e+08	17
