Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.14473946e-01	2023-06-01T16:38:51.376945	-3.00000000e-01	-3.41800000e-08	8.77706261e+06	1.00000000e+00	1.20700000e-10	8.28500414e+09	1
1.10167561e+00	2023-06-01T16:38:52.063990	-3.00000000e-01	-2.89130000e-08	1.03759555e+07	1.00000000e+00	-1.37410000e-10	-7.27749072e+09	2
1.47493556e+00	2023-06-01T16:38:52.428118	-3.00000000e-01	-3.02970000e-08	9.90197049e+06	1.00000000e+00	1.39190000e-10	7.18442417e+09	3
1.85588782e+00	2023-06-01T16:38:52.818154	-3.00000000e-01	-3.31240000e-08	9.05687719e+06	1.00000000e+00	-1.14940000e-10	-8.70019140e+09	4
2.22327699e+00	2023-06-01T16:38:53.178489	-3.00000000e-01	-3.61450000e-08	8.29990317e+06	1.00000000e+00	8.07000000e-11	1.23915737e+10	5
2.59643807e+00	2023-06-01T16:38:53.558588	-3.00000000e-01	-3.88110000e-08	7.72976733e+06	1.00000000e+00	-2.94900000e-11	-3.39097999e+10	6
2.97648859e+00	2023-06-01T16:38:53.938575	-3.00000000e-01	-4.05610000e-08	7.39626735e+06	1.00000000e+00	-1.97500000e-11	-5.06329114e+10	7
3.34324268e+00	2023-06-01T16:38:54.299043	-3.00000000e-01	-3.85040000e-08	7.79139830e+06	1.00000000e+00	7.07000000e-11	1.41442716e+10	8
3.71676765e+00	2023-06-01T16:38:54.679054	-3.00000000e-01	-4.13120000e-08	7.26181255e+06	1.00000000e+00	-1.07090000e-10	-9.33794005e+09	9
4.08152748e+00	2023-06-01T16:38:55.039028	-3.00000000e-01	-4.34790000e-08	6.89988270e+06	1.00000000e+00	1.33490000e-10	7.49119784e+09	10
4.45748118e+00	2023-06-01T16:38:55.419059	-3.00000000e-01	-4.45280000e-08	6.73733381e+06	1.00000000e+00	-1.40070000e-10	-7.13928750e+09	11
4.83225292e+00	2023-06-01T16:38:55.789505	-3.00000000e-01	-4.37670000e-08	6.85447940e+06	1.00000000e+00	1.31080000e-10	7.62892890e+09	12
5.20008107e+00	2023-06-01T16:38:56.159509	-3.00000000e-01	-4.53470000e-08	6.61565263e+06	1.00000000e+00	-9.78500000e-11	-1.02197241e+10	13
5.56378982e+00	2023-06-01T16:38:56.519626	-3.00000000e-01	-4.69600000e-08	6.38841567e+06	1.00000000e+00	5.79800000e-11	1.72473267e+10	14
5.93584484e+00	2023-06-01T16:38:56.889645	-3.00000000e-01	-4.71130000e-08	6.36766922e+06	1.00000000e+00	-3.99000000e-12	-2.50626566e+11	15
6.31255997e+00	2023-06-01T16:38:57.269517	-3.00000000e-01	-4.59280000e-08	6.53196307e+06	1.00000000e+00	-4.69000000e-11	-2.13219616e+10	16
6.68615346e+00	2023-06-01T16:38:57.639626	-3.00000000e-01	-4.84090000e-08	6.19719474e+06	1.00000000e+00	9.27300000e-11	1.07839965e+10	17
