Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.14322151e-01	2023-06-01T15:12:38.155974	-3.00000000e-01	-2.42430000e-09	1.23747061e+08	1.00000000e+00	-2.76600000e-11	-3.61532899e+10	1
9.95974559e-01	2023-06-01T15:12:38.736758	-3.00000000e-01	-2.92230000e-09	1.02658865e+08	1.00000000e+00	1.89300000e-11	5.28262018e+10	2
1.35829377e+00	2023-06-01T15:12:39.096812	-3.00000000e-01	-3.82320000e-09	7.84682988e+07	1.00000000e+00	-7.85000000e-12	-1.27388535e+11	3
1.73695927e+00	2023-06-01T15:12:39.476817	-3.00000000e-01	-2.58010000e-09	1.16274563e+08	1.00000000e+00	-5.88000000e-12	-1.70068027e+11	4
2.09581386e+00	2023-06-01T15:12:39.836814	-3.00000000e-01	-3.75230000e-09	7.99509634e+07	1.00000000e+00	1.78500000e-11	5.60224090e+10	5
2.47196981e+00	2023-06-01T15:12:40.206788	-3.00000000e-01	-3.22880000e-09	9.29137760e+07	1.00000000e+00	-2.64600000e-11	-3.77928949e+10	6
2.84599571e+00	2023-06-01T15:12:40.586824	-3.00000000e-01	-2.41500000e-09	1.24223602e+08	1.00000000e+00	2.89300000e-11	3.45661943e+10	7
3.22145340e+00	2023-06-01T15:12:40.956822	-3.00000000e-01	-3.65180000e-09	8.21512679e+07	1.00000000e+00	-2.58800000e-11	-3.86398764e+10	8
3.59596545e+00	2023-06-01T15:12:41.336824	-3.00000000e-01	-2.49220000e-09	1.20375572e+08	1.00000000e+00	1.65200000e-11	6.05326877e+10	9
3.95592815e+00	2023-06-01T15:12:41.696800	-3.00000000e-01	-3.27950000e-09	9.14773594e+07	1.00000000e+00	-4.68000000e-12	-2.13675214e+11	10
4.32552614e+00	2023-06-01T15:12:42.066833	-3.00000000e-01	-2.70790000e-09	1.10786957e+08	1.00000000e+00	-8.99000000e-12	-1.11234705e+11	11
4.70597092e+00	2023-06-01T15:12:42.446834	-3.00000000e-01	-2.95370000e-09	1.01567525e+08	1.00000000e+00	2.01300000e-11	4.96770989e+10	12
5.07620645e+00	2023-06-01T15:12:42.817069	-3.00000000e-01	-3.87750000e-09	7.73694391e+07	1.00000000e+00	-2.75900000e-11	-3.62450163e+10	13
5.44079152e+00	2023-06-01T15:12:43.177061	-3.00000000e-01	-3.15450000e-09	9.51022349e+07	1.00000000e+00	2.88600000e-11	3.46500347e+10	14
5.81628039e+00	2023-06-01T15:12:43.557075	-3.00000000e-01	-3.86900000e-09	7.75394159e+07	1.00000000e+00	-2.33500000e-11	-4.28265525e+10	15
6.20643225e+00	2023-06-01T15:12:43.947236	-3.00000000e-01	-3.45810000e-09	8.67528412e+07	1.00000000e+00	1.39900000e-11	7.14796283e+10	16
6.55662592e+00	2023-06-01T15:12:44.297522	-3.00000000e-01	-2.26780000e-09	1.32286798e+08	1.00000000e+00	-1.39000000e-12	-7.19424460e+11	17
