Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.72134735e-01	2023-06-02T12:04:27.901574	-3.00000000e-01	-3.08860000e-07	9.71313864e+05	1.00000000e+00	-1.18300000e-10	-8.45308538e+09	1
1.18824433e+00	2023-06-02T12:04:28.617665	-3.00000000e-01	-8.15160000e-07	3.68025909e+05	1.00000000e+00	1.55130000e-10	6.44620641e+09	2
1.55853812e+00	2023-06-02T12:04:28.981926	-3.00000000e-01	-8.85370000e-07	3.38841388e+05	1.00000000e+00	-1.66520000e-10	-6.00528465e+09	3
1.91974144e+00	2023-06-02T12:04:29.342080	-3.00000000e-01	-9.40340000e-07	3.19033541e+05	1.00000000e+00	1.61400000e-10	6.19578686e+09	4
2.29995196e+00	2023-06-02T12:04:29.721964	-3.00000000e-01	-1.01050000e-06	2.96882731e+05	1.00000000e+00	-1.25500000e-10	-7.96812749e+09	5
2.67965089e+00	2023-06-02T12:04:30.102199	-3.00000000e-01	-1.03310000e-06	2.90388152e+05	1.00000000e+00	7.70300000e-11	1.29819551e+10	6
3.03563779e+00	2023-06-02T12:04:30.462217	-3.00000000e-01	-1.08860000e-06	2.75583318e+05	1.00000000e+00	-1.49300000e-11	-6.69792364e+10	7
3.42334698e+00	2023-06-02T12:04:30.852205	-3.00000000e-01	-1.10410000e-06	2.71714519e+05	1.00000000e+00	-4.58200000e-11	-2.18245308e+10	8
3.81457987e+00	2023-06-02T12:04:31.242180	-3.00000000e-01	-1.15060000e-06	2.60733530e+05	1.00000000e+00	1.01770000e-10	9.82607841e+09	9
4.16374748e+00	2023-06-02T12:04:31.592405	-3.00000000e-01	-1.16930000e-06	2.56563756e+05	1.00000000e+00	-1.40440000e-10	-7.12047850e+09	10
4.53354896e+00	2023-06-02T12:04:31.962408	-3.00000000e-01	-1.21500000e-06	2.46913580e+05	1.00000000e+00	1.64300000e-10	6.08642727e+09	11
4.90370163e+00	2023-06-02T12:04:32.332600	-3.00000000e-01	-1.23570000e-06	2.42777373e+05	1.00000000e+00	-1.67220000e-10	-5.98014592e+09	12
5.27373777e+00	2023-06-02T12:04:32.702594	-3.00000000e-01	-1.25770000e-06	2.38530651e+05	1.00000000e+00	1.45200000e-10	6.88705234e+09	13
5.64374766e+00	2023-06-02T12:04:33.072596	-3.00000000e-01	-1.26550000e-06	2.37060450e+05	1.00000000e+00	-1.03980000e-10	-9.61723408e+09	14
6.02394875e+00	2023-06-02T12:04:33.452599	-3.00000000e-01	-1.29440000e-06	2.31767614e+05	1.00000000e+00	5.00600000e-11	1.99760288e+10	15
6.39371289e+00	2023-06-02T12:04:33.822602	-3.00000000e-01	-1.32090000e-06	2.27117874e+05	1.00000000e+00	1.09500000e-11	9.13242009e+10	16
6.77374044e+00	2023-06-02T12:04:34.202617	-3.00000000e-01	-1.33060000e-06	2.25462198e+05	1.00000000e+00	-7.30400000e-11	-1.36911281e+10	17
