Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.11548814e-01	2023-06-02T12:23:51.826883	-3.00000000e-01	-2.69160000e-07	1.11457869e+06	1.00000000e+00	1.22280000e-10	8.17795224e+09	1
9.79007154e-01	2023-06-02T12:23:52.394825	-3.00000000e-01	-4.07350000e-07	7.36467411e+05	1.00000000e+00	-1.16400000e-10	-8.59106529e+09	2
1.36362917e+00	2023-06-02T12:23:52.775200	-3.00000000e-01	-4.69190000e-07	6.39399817e+05	1.00000000e+00	7.38000000e-11	1.35501355e+10	3
1.73006039e+00	2023-06-02T12:23:53.145202	-3.00000000e-01	-5.20520000e-07	5.76346730e+05	1.00000000e+00	-1.71500000e-11	-5.83090379e+10	4
2.10983685e+00	2023-06-02T12:23:53.525212	-3.00000000e-01	-5.55130000e-07	5.40413957e+05	1.00000000e+00	-4.07600000e-11	-2.45338567e+10	5
2.47634520e+00	2023-06-02T12:23:53.885219	-3.00000000e-01	-5.83010000e-07	5.14570934e+05	1.00000000e+00	9.18400000e-11	1.08885017e+10	6
2.84331591e+00	2023-06-02T12:23:54.255222	-3.00000000e-01	-6.05110000e-07	4.95777627e+05	1.00000000e+00	-1.19810000e-10	-8.34654870e+09	7
3.21543206e+00	2023-06-02T12:23:54.625224	-3.00000000e-01	-6.27220000e-07	4.78301075e+05	1.00000000e+00	1.26020000e-10	7.93524837e+09	8
3.58350185e+00	2023-06-02T12:23:54.995217	-3.00000000e-01	-6.39760000e-07	4.68925847e+05	1.00000000e+00	-9.58200000e-11	-1.04362346e+10	9
3.95034045e+00	2023-06-02T12:23:55.365313	-3.00000000e-01	-6.50080000e-07	4.61481664e+05	1.00000000e+00	5.23500000e-11	1.91021968e+10	10
4.33983550e+00	2023-06-02T12:23:55.755251	-3.00000000e-01	-6.75410000e-07	4.44174649e+05	1.00000000e+00	1.52500000e-11	6.55737705e+10	11
4.68966977e+00	2023-06-02T12:23:56.105228	-3.00000000e-01	-6.74560000e-07	4.44734345e+05	1.00000000e+00	-6.98100000e-11	-1.43245953e+10	12
5.07459414e+00	2023-06-02T12:23:56.485235	-3.00000000e-01	-6.88600000e-07	4.35666570e+05	1.00000000e+00	1.14120000e-10	8.76270592e+09	13
5.45687605e+00	2023-06-02T12:23:56.865241	-3.00000000e-01	-6.99580000e-07	4.28828726e+05	1.00000000e+00	-1.25820000e-10	-7.94786203e+09	14
5.80971997e+00	2023-06-02T12:23:57.225240	-3.00000000e-01	-7.06820000e-07	4.24436207e+05	1.00000000e+00	1.15320000e-10	8.67152272e+09	15
6.18979470e+00	2023-06-02T12:23:57.605244	-3.00000000e-01	-7.17990000e-07	4.17833117e+05	1.00000000e+00	-7.01300000e-11	-1.42592329e+10	16
6.55552889e+00	2023-06-02T12:23:57.965251	-3.00000000e-01	-7.28500000e-07	4.11805079e+05	1.00000000e+00	1.45600000e-11	6.86813187e+10	17
