Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;5193,17291636508;318,731838179019;5202,94483191363;3,5121323085815;11,7824839702521
2;79431,5338134766;5218,07655810887;276,997561679117;5225,4234867101;3,03865008061002;27,0664649316637
3;63095,0927734375;5181,19679153402;358,440407348308;5193,580625948;3,95747420936524;32,2178209186578
4;50118,4463500977;5311,82928391291;441,37569625681;5330,13534975247;4,74996485932473;38,1064069037906
5;39810,1806640625;5297,80523842564;392,984758608145;5312,36080898017;4,24236153844826;42,2202298934042
6;31622,8866577148;5319,05897285763;455,382124497384;5338,51676367594;4,89334783184738;44,5418168875427
7;25118,8278198242;5345,45217715795;521,212492345521;5370,80268120694;5,56906521761699;46,7430738819851
8;19952,7740478516;5371,4955999071;615,97676415684;5406,69884067926;6,54182297476652;48,9922708763064
9;15848,6366271973;5393,19004493563;734,196855064899;5442,93522676689;7,75225197251707;51,3179868704345
10;12588,9778137207;5431,10735402721;880,335661884458;5501,99218179688;9,20707464382546;53,531491864846
11;9999,99046325684;5470,43109047241;1064,30278160761;5573,00248757748;11,009675212069;54,8537338615076
12;7943,15338134766;5523,32850578269;1283,4187784507;5670,47807011645;13,0813013143307;57,1651958556718
13;6309,50927734375;5581,24538842716;1558,4959514298;5794,75708865027;15,6017545628321;59,4462688499126
14;5011,79695129395;5642,98891640461;1900,2994278218;5954,36493893724;18,6111613122741;63,6076368394062
15;3980,99422454834;5721,96755774303;2316,76061675407;6173,191434518;22,0424740845292;66,8807468311423
16;3162,2052192688;5815,1270181892;2828,55837938351;6466,56359616564;25,938930556367;70,9551548208555
17;2511,85894012451;5935,0262264815;3457,8702336473;6868,87202252067;30,2259711432927;75,0891708104181
18;1995,2654838562;6082,42170530593;4227,34107063804;7407,17667729614;34,7996688209395;79,3780327995897
19;1584,91730690002;6262,40814568785;5166,95270522682;8118,81494069352;39,525167956222;81,6691647938052
20;1258,90970230103;6472,65503177447;6313,94017713487;9042,18467632648;44,2888470947872;83,9434527880632
21;999,987125396729;6715,45554018659;7715,32290723848;10228,5654260596;48,9635262206377;86,2504427822386
22;794,321298599243;6990,44098822169;9434,39124789398;11741,9761296022;53,4632907396943;88,5131397765258
23;630,959868431091;7295,67815868076;11560,5125546877;13670,1269314569;57,7445484163382;92,660801766054
24;501,185655593872;7664,32003592352;14261,8963898142;16190,8458780526;61,7464878296404;97,8185577530319
25;398,106873035431;8093,67282642803;17566,5186871132;19341,4094265634;65,2623836796046;100,079051747325
26;316,224992275238;8599,28645632346;21684,0015931565;23326,886904384;68,3680668951739;102,332434741635
27;251,18887424469;9267,41303048026;26800,8544435822;28357,9044215823;70,9252302316613;104,652985735777
28;199,530273675919;10118,5375454697;33175,7020656077;34684,4635190607;73,0383756199533;107,868219727659
29;158,488750457764;11241,7482952391;41043,1199500455;42554,8422622777;74,6823103778327;111,980988717275
30;125,888735055923;12663,3506167314;50683,6828602938;52241,7089797521;75,9718111011486;114,330306711344
31;99,9998301267624;14578,0425058696;62602,7682500271;64277,7248809378;76,8913859167097;117,631677703009
