Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;878971,079506629;116415,187936985;886646,860137367;7,54462009727791;15,5128019608339
2;79431,5338134766;561916,439011698;178638,19017755;589628,431659717;17,6359192561215;25,1622849364713
3;63095,0927734375;1692088,81665914;932013,328733709;1931790,20817485;28,8462539177318;32,1509679188266
4;50118,4463500977;475358,166225178;-533258,443647593;714373,819451985;-48,285494783862;38,0218279040041
5;39810,1806640625;1220363,36799199;313894,239344094;1260085,84764299;14,4245830498251;40,1466328986395
6;31622,8866577148;1374203,87837988;-36684,0536203774;1374693,42733001;-1,52913438059916;42,4063148929343
7;25118,8278198242;1447142,04886317;114204,966100715;1451641,4446653;4,51229297096876;44,6226138873387
8;19952,7740478516;1313859,85412126;206979,513724039;1330063,24487709;8,95254105676088;47,7749698793798
9;15848,6366271973;1311433,0202248;131197,21043757;1317979,23904838;5,71292503759465;50,9891968712647
10;12588,9778137207;1324028,77364697;149834,512684321;1332479,85899842;6,45644347344977;54,1043758633996
11;9999,99046325684;1343394,12281859;157196,721363314;1352560,00917922;6,67409148192271;55,3909538601513
12;7943,15338134766;1368523,71972634;68063,0680355771;1370215,22130067;2,847240332148;59,5690398496026
13;6309,50927734375;1389024,98094245;70869,8361630521;1390831,74085147;2,92077149541196;64,5517028370226
14;5011,79695129395;1345755,07244898;138737,792406536;1352887,61176381;5,88599440792716;67,722149829018
15;3980,99422454834;1361081,19372451;135541,166220355;1367813,37310721;5,68696212736166;70,9512588208653
16;3162,2052192688;1379436,80633537;131974,598616478;1385735,61596457;5,46501458100686;74,1196328128659
17;2511,85894012451;1389200,83453131;146994,438385829;1396956,09221581;6,04011893516341;77,2295628050141
18;1995,2654838562;1435917,12261376;151218,174849639;1443857,65206278;6,01172916034032;81,4279887944141
19;1584,91730690002;1434388,34896702;143211,829374988;1441519,87975374;5,70161517612956;85,5797787839318
20;1258,90970230103;1469391,30289511;151752,347723347;1477206,68021212;5,89635515729082;89,6291227737082
21;999,987125396729;1463918,39200576;243908,331901179;1484098,49161824;9,4593493341243;93,8996267629262
22;794,321298599243;1494082,31840141;184200,343282333;1505394,21435884;7,02833631439327;98,0053297525603
23;630,959868431091;1517393,7670048;192949,889629928;1529612,20708166;7,24676801281845;102,047089742356
24;501,185655593872;1541630,27096578;235327,252190628;1559487,99545928;8,67910555718452;106,293951731634
25;398,106873035431;1609093,61638448;200674,444699602;1621558,6634608;7,10880918195076;110,399049721269
26;316,224992275238;1633217,24807204;232285,688692177;1649653,06066797;8,09465143871047;114,479271710968
27;251,18887424469;1574998,62865983;-45369,0227306883;1575651,93761309;-1,64999184726165;118,677280700369
28;199,530273675919;1766717,17429581;284708,373952228;1789510,6683533;9,15457093256695;123,793262687452
29;158,488750457764;1712491,3903267;312986,964023237;1740858,29451784;10,3574629418164;128,801779674807
30;125,888735055923;1737125,00735093;374459,644990439;1777026,53803772;12,1647015587885;133,958687661787
31;99,9998301267624;1367398,97971233;648983,676657231;1513591,6828147;25,3895672290349;140,933698644177
32;79,4325023889542;2106973,66879943;661182,746667595;2208280,02425079;17,4222139905361;145,165790633492
