Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;315105,074931765;-32709,6580437192;316798,248065058;-5,92639436581049;15,6543739604765
2;79431,5338134766;444763,196898567;136639,346826314;465279,06939444;17,0779104146744;25,4098459358463
3;63095,0927734375;330357,250046338;122085,74980317;352194,325569253;20,2821319558709;32,3808519182462
4;50118,4463500977;191155,764004444;28939,0914596752;193333,900614026;8,60864428399749;38,2526009034215
5;39810,1806640625;379514,255659041;43478,9339703191;381996,711959188;6,53557944218461;41,3706138955492
6;31622,8866577148;406018,292219955;32641,9530389672;407328,308266694;4,59642422759744;43,6330478898371
7;25118,8278198242;389266,141309319;37097,4426400567;391029,856942253;5,44390234704668;45,808347884345
8;19952,7740478516;382591,56136404;49457,2876657153;385774,968252507;7,3657298423904;48,9645368763764
9;15848,6366271973;387736,011126859;49532,2477874877;390887,014232308;7,27995340553018;52,1694588682848
10;12588,9778137207;394289,848172033;47044,9358259753;397086,527545817;6,80411457387306;55,2739778604466
11;9999,99046325684;403859,047813994;40632,5148253175;405897,932690296;5,74523138357009;59,3944888500433
12;7943,15338134766;407196,737226134;42831,9059263053;409443,225579431;6,00470451321563;64,4952808371651
13;6309,50927734375;414319,122722322;45443,828291204;416803,883119094;6,25936099073214;69,4396408246818
14;5011,79695129395;417265,567629619;52317,7636351184;420532,64120761;7,14658888354651;72,594316816717
15;3980,99422454834;425800,334084918;53098,5665087676;429098,336366053;7,10825902479972;75,7986348086268
16;3162,2052192688;429077,987158595;58022,3465441214;432983,269610452;7,70114435696915;78,9476478006764
17;2511,85894012451;435807,858655951;60723,47912436;440017,988931421;7,93226238161611;82,0175967929255
18;1995,2654838562;439397,984457618;65597,9060381531;444267,570301961;8,490999706898;86,1870117823987
19;1584,91730690002;451530,028647533;69844,520406224;456900,015103105;8,79305758183406;90,2745687720786
20;1258,90970230103;458965,007633189;76458,2438165161;465289,953984866;9,45795870268186;94,3636857617546
21;999,987125396729;470546,510640861;81682,3228785673;477583,522064077;9,84785853489445;98,5127907512791
22;794,321298599243;475283,015930179;97531,1288889397;485186,836521806;11,5964760871125;102,616812740917
23;630,959868431091;484480,921792255;107369,63249603;496235,832606842;12,4958064433002;106,723775730548
24;501,185655593872;501078,802364269;118037,558867955;514793,969935853;13,2553260920298;108,982985724844
25;398,106873035431;507034,996629655;138040,629384131;525489,964859464;15,2297000570846;111,25033071912
26;316,224992275238;519273,044160235;163189,827158899;544311,872072976;17,4461568651361;115,296046708905
27;251,18887424469;511929,149659174;208278,072044006;552676,405833588;22,1389206879488;117,64291670298
28;199,530273675919;550719,329392922;223458,097443491;594327,604171348;22,08518758221;119,932699697199
29;158,488750457764;577837,873394012;245651,277498755;627886,262045352;23,0313859675515;122,213482691441
30;125,888735055923;601273,189319899;283277,364058198;664661,954065887;25,226494438132;125,463366683235
31;99,9998301267624;580432,795774446;389274,435006128;698882,54818666;33,8482702117207;129,648369672669
32;79,4325023889542;696806,478785148;328319,426850374;770281,062291106;25,2287512712256;133,823441662128
33;63,0952417850494;613693,723981508;536445,038646193;815103,224347939;41,1575191256104;138,148552651208
34;50,119124352932;465385,627033603;2299642,53975982;2346260,76822728;78,5593922303754;140,53227864519
35;39,8103147745132;783124,308187628;575641,589877685;971929,484104305;36,3180345443263;147,577525627403
36;31,6230580210686;1039298,43099294;653600,331337102;1227735,56671962;32,1652164014405;152,003673616228
37;25,1182354986668;952599,237407212;754586,368617903;1215255,48540739;38,3839463282025;155,540835607297
38;19,952654838562;996643,858591333;897326,649614905;1341079,45214925;41,9982375222302;159,151263598182
39;15,8483162522316;986328,193029056;997955,3063807;1403124,4057094;45,3357266735599;162,907704588698
40;12,5886872410774;1185856,4172432;1146115,20278581;1649192,37821839;44,023665877344;165,803521581386
41;9,99984331429005;1283520,32743655;1357386,31285195;1868133,30179102;46,6021414856873;168,900572573567
42;7,94301740825176;1676866,17592218;1378267,2435439;2170599,17225129;39,4178239391555;173,037710563122
43;6,30959402769804;1592696,65469098;1837987,68211853;2432052,90926889;49,0896403099857;176,294612554899
44;5,01179601997137;1656396,26209297;2219963,11508503;2769816,74654003;53,2720246270236;179,595488546565
45;3,98105476051569;1813855,22258783;2558533,9410373;3136266,36240435;54,6655252447728;190,567301518864
46;3,16224759444594;2033361,97418967;2828659,83580768;3483658,62058727;54,2897999513619;194,130610509867
47;2,51189339905977;2288350,41440135;3595015,08354808;4261535,06028392;57,5218483406224;197,784616500642
48;1,99524220079184;2476740,48908529;4373470,87165879;5026081,06933447;60,4766865402144;201,661684490853
