Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;5536,0705816298;-48016,911553259;48334,9963545905;-83,4231687218909;26,8076949323171
2;79431,5338134766;-56855,1280884188;23514,6481101608;61525,9641590052;157,530557390781;34,7097579123663
3;63095,0927734375;25247,0429863025;26857,71183843;36861,2244065272;46,7705706535731;40,7816598970362
4;50118,4463500977;24656,1825961794;-26764,4975081256;36390,4612100287;-47,347886552533;56,8057708565792
5;39810,1806640625;290639,607121976;-16152,1342897676;291088,084040091;-3,18090896184105;58,9639318511304
6;31622,8866577148;286159,582218235;-15051,0883233834;286555,128648979;-3,0108023168949;61,2476838453645
7;25118,8278198242;286750,01506551;25460,752467824;287878,135773278;5,07402965480028;63,5033548396694
8;19952,7740478516;214160,993143706;13808,0360943024;214605,668250119;3,68904084316524;67,5391408294801
9;15848,6366271973;215573,500352919;13152,6287328424;215974,363517974;3,4914176306463;71,7357798188846
10;12588,9778137207;217643,880555138;13260,219207947;218047,45390979;3,4865056232344;75,8077048086039
11;9999,99046325684;220975,462166734;14197,7002670199;221431,094412401;3,67620778742604;80,9353597956579
12;7943,15338134766;223717,678417675;12692,2808484655;224077,427755967;3,2471077324018;87,056296780204
13;6309,50927734375;224937,751607215;15760,0584356017;225489,182756075;4,00782699454215;93,0528147650642
14;5011,79695129395;226666,399305019;16913,9068952819;227296,583389114;4,2675172323135;97,1997927545941
15;3980,99422454834;230631,418839807;21255,1431655922;231608,791860439;5,26554253851676;101,464672743826
16;3162,2052192688;230852,378048804;21861,7646084962;231885,224200649;5,40978794844378;105,60605873337
17;2511,85894012451;233332,569195279;23651,9413053224;234528,254534033;5,78806209146104;109,719381722985
18;1995,2654838562;214721,201131668;22635,5353262442;215911,004061701;6,01779510139297;112,030844717149
19;1584,91730690002;217224,011075638;23453,2360235896;218486,441839687;6,16223854521677;114,27220571149
20;1258,90970230103;220715,470156215;24808,2842340146;222105,312257305;6,41309419012208;116,538459705769
21;999,987125396729;224154,984099128;25510,8112852281;225601,991101388;6,49282781172666;118,832222699977
22;794,321298599243;227355,372322387;29698,247032548;229286,831721007;7,44211203210507;121,071217694325
23;630,959868431091;231402,934536271;30933,8954570614;233461,397237629;7,61414619604708;123,361369688542
24;501,185655593872;236060,577162448;32304,6968331222;238260,75952147;7,79247607901048;125,650463682763
25;398,106873035431;240750,019720814;36525,4963786957;243504,997651552;8,62686628350989;127,944587676971
26;316,224992275238;244797,025377414;38607,0071389901;247822,687891687;8,96231473431398;130,231842671196
