Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;327951,116452882;87629,8372816088;339456,806036781;14,960154223996;24,0995129391546
2;79431,5338134766;169003,201739608;31143,4037059618;171848,752665334;10,4411591986227;33,0150129166451
3;63095,0927734375;175175,344045331;-152775,022497849;232436,246443231;-41,0925382562236;46,5210538825456
4;50118,4463500977;36158,4668638156;194868,769609838;198195,035495831;79,4881539418594;52,4033018676944
5;39810,1806640625;453707,729001784;-1564,20517308235;453710,425374798;-0,197532450740083;54,588627862177
6;31622,8866577148;446757,724102995;12379,0186569882;446929,193663379;1,58717813361926;56,8455638564787
7;25118,8278198242;450996,430835771;4087,02141961703;451014,949165422;0,519211798952861;59,0585738508914
8;19952,7740478516;429535,163119872;29297,554811557;430533,161410769;3,90196306082443;62,2122888429291
9;15848,6366271973;429965,979470158;32233,9355347064;431172,552583983;4,28736271109462;66,3621768324516
10;12588,9778137207;459024,54450551;27067,4398157053;459821,898952918;3,3746698600842;68,5398768269534
11;9999,99046325684;460214,616844229;33577,1802965402;461437,883786916;4,17289652546201;69,8363298236802
12;7943,15338134766;469973,708482216;26278,9891251696;470707,841377183;3,20041072482072;72,0919648179853
13;6309,50927734375;474471,035972163;30198,2864485098;475431,068064471;3,64174752862148;76,1983378076177
14;5011,79695129395;449938,77423197;40227,1188417939;451733,463059446;5,10898899260928;80,3198437972119
15;3980,99422454834;455189,224438381;43505,0682757572;457263,513753823;5,45950580403777;84,5581627865112
16;3162,2052192688;486140,660550127;48575,4556753718;488561,476924024;5,70608759803596;86,7737437809174
17;2511,85894012451;491178,183472265;51892,6139724256;493911,784941405;6,03088493726378;88,9330427754657
18;1995,2654838562;472984,608867551;52024,8123416724;475837,17942672;6,27688022200628;93,1120647649146
19;1584,91730690002;479934,111493392;58060,1369441333;483433,274482553;6,89785010086418;97,1789887546466
20;1258,90970230103;487191,944104374;63849,9046968673;491358,118616146;7,46645807034616;101,287305744274
21;999,987125396729;495743,043140595;69070,9766206369;500531,681947932;7,93185449156719;105,471166733711
22;794,321298599243;503412,634825916;77633,4150221307;509363,551925704;8,76676529630393;107,699137728086
23;630,959868431091;513353,089933843;86426,1906700297;520577,449932627;9,55648480241739;109,965723722363
24;501,185655593872;524967,151136813;94613,9948416308;533425,081705569;10,2166494245941;112,258415716575
25;398,106873035431;536374,552932121;105179,406214429;546589,762550263;11,0945382447406;114,500944710913
26;316,224992275238;549604,408540142;117925,414458439;562113,342006711;12,1100101802947;116,773484705175
27;251,18887424469;571116,577229028;135423,933620209;586952,967948005;13,3396800287701;119,140505699199
28;199,530273675919;582501,952251241;143765,594953749;599980,891919828;13,863933903826;121,38999269352
29;158,488750457764;601137,497729994;161985,796291818;622579,865862504;15,0810257440065;124,547985685547
30;125,888735055923;623712,015771211;179571,100405889;649047,347054411;16,0614838471784;128,750550674936
31;99,9998301267624;657623,944130604;191135,983803142;684837,364779615;16,2063121328479;132,940660664357
32;79,4325023889542;681197,549658657;215322,469755233;714418,552140447;17,5414337445943;137,059528653958
33;63,0952417850494;711293,621966396;227286,241346154;746724,616010036;17,7207223456719;141,302554643245
34;50,119124352932;772897,833120912;211335,854073464;801270,181436924;15,2927533690805;143,747563637072
35;39,8103147745132;783638,876633637;283721,212828548;833419,231587879;19,9030963650124;146,144472631021
36;31,6230580210686;816608,004490139;308809,219699923;873047,402589941;20,7146581566577;148,740259624467
37;25,1182354986668;857295,500567539;330985,549342753;918970,624757435;21,1106299485866;151,373485617819
38;19,952654838562;911703,433774518;359951,945810513;980188,019947715;21,5447281504374;154,02290561113
39;15,8483162522316;956044,774831352;382599,342968182;1029759,13140987;21,8107823943684;156,905743603851
40;12,5886872410774;1003329,92584276;387912,361773173;1075707,64639286;21,1377444450107;159,869974596367
41;9,99984331429005;1057174,57404356;456995,787643167;1151721,85441094;23,3778793785707;163,05733058832
42;7,94301740825176;1109142,52644362;474692,875635231;1206453,67509266;23,1700460687943;166,367270579963
43;6,30959402769804;1163006,90569922;525144,415925661;1276072,77233;24,3010910959004;169,646753571683
44;5,01179601997137;1219750,12971692;594913,103744072;1357096,89409078;26,0000461267924;172,957039563325
45;3,98105476051569;1382408,12286311;680419,194041771;1540786,32450394;26,2063416947093;176,399077554635
46;3,16224759444594;1422541,54379977;760604,636728995;1613116,19459042;28,1325285829987;179,987748545575
47;2,51189339905977;1502679,62602798;876528,97993836;1739640,51204591;30,2554660528485;183,737115536108
48;1,99524220079184;1586982,31506908;990792,90160676;1870877,71973915;31,9775681433813;187,702781526096
49;1,5849363990128;1667397,54975057;1150201,92794193;2025630,53490896;34,5986357639489;191,861307515597
50;1,25891529023647;1706793,62965995;1423777,46563846;2222675,58719388;39,8342744975078;196,294741504403
51;1,00000761449337;1750687,75509429;1428566,39595936;2259581,72312962;39,2145470552703;201,119121492223
52;0,794330844655633;1846183,53319213;1677854,72947673;2494712,43462192;42,2652949802049;206,312553479111
53;0,630956492386758;1960386,40767552;1970013,33780377;2779220,64948497;45,1403372172548;212,085010464537
54;0,501182512380183;2092313,67710526;2341966,81441351;3140475,29574997;48,2223911586837;230,005361419292
55;0,398104020860046;2231624,63765352;2779960,4913406;3564874,3115006;51,2441030081831;240,882079391831
56;0,31622766982764;2388742,87395115;3320351,88480986;4090333,6241452;54,2678304548827;249,582496369865
57;0,251187884714454;2568623,14591147;3987456,95853181;4743167,49249443;57,2113468837459;259,745401344206
58;0,199528585653752;2782331,80694096;4817971,56028796;5563651,70006705;59,9939832943942;283,36181728458
59;0,15848854673095;3029097,41397809;5831011,73777036;6570854,51287612;62,5489990770814;297,623799248572
60;0,125888618640602;3326685,94386864;7075148,24240488;7818219,87546641;64,8174137433407;314,942669204846
61;0,0999989424599335;3703194,60618209;8607605,93880064;9370407,15705204;66,7214873167421;335,823539152127
