Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;66779,1041151164;12065,3477286683;67860,3077080501;10,2414577213131;15,5018629608616
2;79431,5338134766;55760,9795894959;2887,37066373885;55835,6853108296;2,96419704972658;32,6737949175066
3;63095,0927734375;74197,0734065347;-5179,08541102797;74377,6083763751;-3,99286916249073;38,7378189021964
4;50118,4463500977;66972,6504005751;1192,27774415075;66983,262296613;1,01989792862584;43,7418808895624
5;39810,1806640625;63500,8867128281;4933,23743252108;63692,2243675085;4,44225440899876;46,8804758816382
6;31622,8866577148;64201,8519029149;4307,65919674093;64346,2020287062;3,83853917208581;49,167884875863
7;25118,8278198242;64834,0229451103;4983,5039261805;65025,2708001231;4,39542964015216;51,4147578701902
8;19952,7740478516;65070,925029472;5132,10567095415;65272,9943606773;4,50954958941033;56,4693348574286
9;15848,6366271973;65524,9514802947;5406,92520171464;65747,6547614583;4,71719109136426;61,5756188445365
10;12588,9778137207;66360,7425683355;5735,98793287451;66608,1805170129;4,94016590519022;66,5383088320069
11;9999,99046325684;67245,7888553975;5950,95293641378;67508,5917468;5,05724698583076;72,5454618168403
12;7943,15338134766;67982,0009820629;6420,82929557624;68284,5480791089;5,39552100646999;80,5262467966908
13;6309,50927734375;68804,8198022163;7023,34967940141;69162,3500810564;5,82836093695992;88,3089457770413
14;5011,79695129395;69579,4656040061;7850,79751067147;70020,9758236247;6,43757638786536;93,3529477643065
15;3980,99422454834;70562,3800320466;8547,99084605167;71078,2500016085;6,90720599505833;98,4589187514151
16;3162,2052192688;71616,8116477042;9389,66936414823;72229,7279612125;7,46943609338797;103,436663738848
17;2511,85894012451;72815,5710414236;10335,1293729088;73545,3756890491;8,07835705354175;107,553181728454
18;1995,2654838562;74141,3639452938;11402,0300609113;75012,9864568692;8,74289068211694;111,724627717922
19;1584,91730690002;75605,5354591584;12631,9074415631;76653,519669212;9,4851671752909;115,874000707446
20;1258,90970230103;77208,298987647;13980,0507873126;78463,7703184198;10,2633049421784;120,003206697021
21;999,987125396729;78995,837723709;15477,0118273316;80497,7035248455;11,0850842663582;124,207312686407
22;794,321298599243;81115,6357671892;17182,0774404201;82915,439762953;11,9597268640687;128,335688675984
23;630,959868431091;83417,6083183231;18980,56843609;85549,7478412781;12,8186476427469;130,614745670229
24;501,185655593872;85875,1437291986;20989,4406779163;88403,0368849526;13,73484474094;132,911303664431
25;398,106873035431;88666,557000711;23124,025858109;91632,3027226034;14,617013699516;135,203166658645
