Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;251743,241898123;27981,5542194687;253293,559369192;6,34245857835069;14,5609289632372
2;79431,5338134766;315975,3802016;-23365,8508417002;316838,135140173;-4,22922929124247;23,342046941067
3;63095,0927734375;-301053,33127551;-128309,184814018;327255,794722905;-156,916256033486;28,4579129281507
4;50118,4463500977;281638,5875054;210342,510687188;351517,091724181;36,7543101420812;33,457884915527
5;39810,1806640625;705389,93681342;58766,1261837035;707833,610776064;4,76232131076155;36,5934499076104
6;31622,8866577148;619890,85001734;-61920,5198454871;622975,775382283;-5,70431841885402;38,8495359019144
7;25118,8278198242;708257,123749062;56272,9019816027;710489,122252217;4,54275822336778;41,1091108962095
8;19952,7740478516;731316,720017603;75731,3411867303;735227,434890216;5,91217860655778;43,3312548905991
9;15848,6366271973;712497,213676328;106905,447807725;720472,799117012;8,53319306002952;45,6044988848597
10;12588,9778137207;727538,024008592;111506,482282306;736033,472044106;8,71365989182336;47,8078898792967
11;9999,99046325684;742302,722769719;129853,31415003;753574,956740923;9,92252610592827;49,0979618760396
12;7943,15338134766;773604,25704968;114509,253639214;782033,193473524;8,41980970392578;51,4632398700678
13;6309,50927734375;790144,415884821;120852,71875279;799333,208107799;8,69600610823811;53,69624086443
14;5011,79695129395;808267,077928477;136519,713998179;819715,378392515;9,58701376304935;55,9196368588165
15;3980,99422454834;814868,112119896;161471,128846768;830712,32421392;11,2083150547754;58,1887888530874
16;3162,2052192688;840793,596250213;177098,753147607;859242,596629033;11,8945029321132;60,3904838475287
17;2511,85894012451;848121,817264143;182043,539897669;867439,028023242;12,1143361918522;64,4912468371753
18;1995,2654838562;877243,428806;193116,721380544;898248,351771423;12,4150913863459;68,7644868263864
19;1584,91730690002;905080,600331217;204108,231473555;927809,820626608;12,708404438019;72,8781128160005
20;1258,90970230103;933172,555098904;216904,19930466;958049,293755709;13,0853297844273;76,9855888056301
21;999,987125396729;967214,968420949;226092,476030894;993288,78119876;13,1569965352322;79,3557817996459
22;794,321298599243;1003817,63956614;241182,831698543;1032385,10828579;13,5101205179259;83,4593417892854
23;630,959868431091;1041906,98824235;258054,328834467;1073388,19109326;13,9107991997098;85,6988037836313
24;501,185655593872;1081359,5693608;263995,005949042;1113118,08960874;13,719401292795;88,0410177777178
25;398,106873035431;1113412,91052773;274614,088120068;1146778,62149756;13,8550047552839;92,0955347674811
26;316,224992275238;1152886,52603206;293591,273935145;1189681,96508022;14,2871280883192;94,3654037617503
27;251,18887424469;1202667,21924777;305200,289154302;1240788,3206869;14,2393357855786;96,6467857559903
28;199,530273675919;1239630,47733323;322571,383401829;1280912,18189351;14,5857948151504;98,9453827501869
29;158,488750457764;1284460,95003314;339488,110293592;1328567,69085762;14,8049570837133;103,125101739634
30;125,888735055923;1336097,35259695;355929,399613067;1382693,70184633;14,9168740307314;106,38269773141
31;99,9998301267624;1416550,98736114;371370,3665075;1464422,29186589;14,6903561491225;109,612957723254
32;79,4325023889542;1361165,16622205;432648,875880763;1428270,16335747;17,6329552231709;112,857264715063
33;63,0952417850494;1750864,47803899;524198,134628916;1827651,52718104;16,6673790193817;116,242728706515
34;50,119124352932;1966359,29295224;-974468,071118653;2194574,4212966;-26,3616212126726;118,620029700513
35;39,8103147745132;1616839,84735632;453725,43324876;1679296,83521883;15,6754393634284;124,76046868501
36;31,6230580210686;1515691,3902476;613284,898857069;1635065,36800118;22,0294305662038;128,263739676165
