Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;94068,8120377069;18868,5776583292;95942,5068519362;11,3420318307368;15,7143149603252
2;79431,5338134766;95976,3423061248;15125,2026932901;97160,8462240606;8,95575984466018;25,4733649356859
3;63095,0927734375;102121,079245377;-12107,3664624902;102836,292955832;-6,76136476943029;31,5817439202638
4;50118,4463500977;63052,2741367311;20483,0115922048;66295,8749674509;17,9967827721971;37,527183905253
5;39810,1806640625;88632,1920746897;9005,46051272739;89088,5166057387;5,8016192780784;40,6683118973224
6;31622,8866577148;85515,2947675616;8891,124615865;85976,2626317159;5,93578151215997;42,9642958915256
7;25118,8278198242;89638,4016821579;8271,43899970878;90019,2188327459;5,27207381169103;45,2235418858215
8;19952,7740478516;89907,3681469138;8724,57493324905;90329,6908821821;5,54260527600387;49,3432668754202
9;15848,6366271973;90869,7829198219;9027,93828175181;91317,145802498;5,67373307470306;53,5181298648797
10;12588,9778137207;91684,1139059251;9483,98759977688;92173,3300011851;5,90578502457257;57,5786888546278
11;9999,99046325684;92831,035654953;9875,15260625003;93354,8060882131;6,07215767548154;62,6661718417831
12;7943,15338134766;94032,5463297622;10807,8405517665;94651,6200952275;6,55664694979509;66,8765028311531
13;6309,50927734375;94983,3211137943;12120,2291159147;95753,4920701508;7,27185840465309;72,8453748160831
14;5011,79695129395;96006,4220089037;13901,1135577973;97007,5977699607;8,23880344387048;76,9785718056478
15;3980,99422454834;97675,004290434;15598,7814337065;98912,7314624;9,07356406976591;79,2636617998785
16;3162,2052192688;99319,5692087018;17689,3248140817;100882,550722016;10,0987782597712;81,5002087942318
17;2511,85894012451;101367,44864779;20039,1348583967;103329,214509912;11,182506730091;83,6669367887613
18;1995,2654838562;103811,114946783;22701,3398915309;106264,28571898;12,3352203118424;85,9489377829998
19;1584,91730690002;106399,891446627;25760,641957284;109473,958428046;13,610071813977;90,0275017727024
20;1258,90970230103;109693,363359135;29096,0941828641;113486,636489664;14,8555759009847;92,1988337672203
21;999,987125396729;113390,57406261;32985,7706649732;118090,996069177;16,2199243509332;94,4846907614491
22;794,321298599243;117661,945898574;37027,511098492;123350,598258735;17,4684772378212;96,7390847557573
23;630,959868431091;122442,735554931;41687,783175906;129344,867529779;18,8020446566818;99,0338927499635
24;501,185655593872;128025,587452126;46209,2985652024;136109,699567481;19,8464391704314;102,278175741772
25;398,106873035431;134228,13508675;51646,6903909706;143821,322748776;21,045127764593;104,54454073605
26;316,224992275238;142056,864945213;57313,2171934091;153182,759288118;21,9717421405971;107,718115728038
27;251,18887424469;150373,258218508;63092,1392940167;163072,789967994;22,7614698066826;110,99277971977
28;199,530273675919;158947,247445898;68335,5833682992;173014,390802942;23,2641352896976;114,275251711483
29;158,488750457764;167979,380380145;74110,7563037277;183601,406402042;23,8065734030592;116,605483705599
30;125,888735055923;177162,965366488;80245,0523943286;194489,034989677;24,3679043873171;119,042872699446
31;99,9998301267624;185780,561215457;86975,4213660925;205132,008344236;25,0872134000392;121,375416693557
32;79,4325023889542;194717,368576301;95390,1186426919;216827,416070814;26,099777903403;123,67519568775
