Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;99998,4741210938;98756,4301252251;14885,2800057031;99871,9382605878;8,57150979555465;14,7966209626421
2;79431,5338134766;164138,199973063;-60421,5607762807;174906,013896146;-20,2093649910267;23,6503749402885
3;63095,0927734375;106289,807178098;-12253,0153089197;106993,735770455;-6,575990131056;29,7365839249223
4;50118,4463500977;105926,076710682;20177,6383827277;107830,750799674;10,7849465751956;34,6952369124029
5;39810,1806640625;141169,733917193;16231,8034177853;142099,842422307;6,55910846522823;37,8650939043998
6;31622,8866577148;146101,730085553;17174,5240776354;147107,714995798;6,7044543839773;40,1527458986241
7;25118,8278198242;145962,820926545;15713,2154645301;146806,165514495;6,14435270349935;42,3572188930583
8;19952,7740478516;145843,65480186;15551,2651406306;146670,42474009;6,08643393255313;45,5341998850372
9;15848,6366271973;148141,894301418;14384,8699301759;148838,655362512;5,54614558326114;48,7844298768312
10;12588,9778137207;149545,906431266;14302,1381686475;150228,257283855;5,46298748739504;51,9430738688563
11;9999,99046325684;151512,008112705;13245,1132353396;152089,847218548;4,99607076850778;56,1064868583447
12;7943,15338134766;152867,905205577;13395,9264212946;153453,730116364;5,00807798824628;61,2580308453383
13;6309,50927734375;154503,981020588;13766,8858819788;155116,10908638;5,09182241258091;66,3014678326049
14;5011,79695129395;155828,874334362;15312,1024821458;156579,36824096;5,61199876020327;69,4867138245629
15;3980,99422454834;157592,657628979;16167,9758316934;158419,850969059;5,85767806103292;72,7293268163761
16;3162,2052192688;159489,248367621;17262,3434897241;160420,72449539;6,17737014558355;75,930850808293
17;2511,85894012451;161597,271112785;18490,2844481947;162651,678903337;6,52751007694117;79,1318118002114
18;1995,2654838562;164215,779685718;19661,6268665735;165388,638874709;6,8275472855745;82,3491237920884
19;1584,91730690002;166969,190349417;21322,3880397011;168325,145945742;7,27742664908208;85,5237427840733
20;1258,90970230103;169749,51709312;23023,3544996511;171303,74603541;7,7239704647471;88,7143177760179
21;999,987125396729;173145,290664214;25022,6727259035;174944,064859437;8,22335746564436;91,9452277678606
22;794,321298599243;176847,898983744;26903,4621670532;178882,575036079;8,64995326925564;95,11013975987
23;630,959868431091;180488,073540495;28844,2293171465;182778,374692575;9,07979533038654;97,3045227543297
24;501,185655593872;184662,892096838;30776,2028222454;187209,931300998;9,46203666519912;99,6007987485322
25;398,106873035431;188780,283047688;32884,5948869363;191623,046235162;9,88149081343231;101,870409742802
26;316,224992275238;193059,958531703;35162,6162283264;196235,973175877;10,322313744422;104,166686737004
27;251,18887424469;197341,87649643;37073,3754963971;200794,052177421;10,6397848182375;106,567283730943
28;199,530273675919;201710,637847365;40250,811432685;205687,406619317;11,2849896395844;108,856580725164
29;158,488750457764;205590,045798225;43614,4375057537;210165,377953314;11,977313285082;111,087344719531
30;125,888735055923;209381,982625073;48000,3147737819;214813,511833842;12,9118137743967;113,42083171364
31;99,9998301267624;213750,658841142;53571,7292528049;220361,689796929;14,070060541689;115,74966070776
32;79,4325023889542;216981,392075969;58379,9714757924;224697,898469789;15,0591081552993;118,099532701827
33;63,0952417850494;220952,940459877;64967,8576085046;230306,370776201;16,3851723211389;120,571847695585
34;50,119124352932;224405,505584742;113056,603503866;251275,996729839;26,7391914556293;122,984893689493
35;39,8103147745132;231595,782861391;97108,5527941604;251130,797922033;22,7483969742064;125,383912683436
36;31,6230580210686;236270,786503245;108661,003065792;260059,797243107;24,6977147947921;127,893767677099
37;25,1182354986668;251531,78761943;130672,685571449;283449,450409558;27,4522214646281;130,487207670551
38;19,952654838562;258619,121837935;160812,523584756;304539,846197378;31,8738527365545;133,122554663898
39;15,8483162522316;269075,281844132;197168,939959066;333582,221025163;36,232655331787;135,908886656863
40;12,5886872410774;270081,443499712;228628,711814212;353857,420423416;40,2485037637788;138,875685649373
41;9,99984331429005;277201,387067436;265795,586522968;384041,537866933;43,7966633756798;141,983849641525
42;7,94301740825176;287171,445315051;358977,61683158;459709,004034526;51,3412280611081;145,293913633168
43;6,30959402769804;319108,354596197;404428,155477763;515162,377232886;51,7252905394747;148,580893624869
44;5,01179601997137;329215,895157152;517711,293807163;613521,058611366;57,5474605375312;151,970710616311
45;3,98105476051569;319570,423295127;625613,577310468;702508,080779308;62,9415457963313;158,617843599528
46;3,16224759444594;324010,592208599;774044,226342032;839122,951775723;67,2860865583465;162,262421590327
47;2,51189339905977;344449,684234464;970704,87466956;1030006,57215208;70,4630295198921;167,234556577773
48;1,99524220079184;364729,681959309;1183447,58356249;1238376,3256547;72,8710938577244;171,20477156775
49;1,5849363990128;413558,757313552;1482192,04729375;1538806,06666713;74,4099230351465;175,360715557257
50;1,25891529023647;404231,137122663;1864294,14416274;1907615,12579948;77,7660493689029;179,805698546034
51;1,00000761449337;493323,060286557;2285449,04278266;2338085,74884812;77,8193654996681;184,596917533938
