[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/01/2023 20:48:34
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	(32)
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	T robot_6x6 lesker_non-B-samples_SENO-101.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.643
302.0	7.685
304.0	7.726
306.0	7.761
308.0	7.795
310.0	7.810
312.0	7.822
314.0	7.795
316.0	7.798
318.0	7.782
320.0	7.783
322.0	7.772
324.0	7.773
326.0	7.748
328.0	7.748
330.0	7.746
332.0	7.752
334.0	7.746
336.0	7.756
338.0	7.758
340.0	7.735
342.0	7.729
344.0	7.733
346.0	7.735
348.0	7.722
350.0	7.729
352.0	7.748
354.0	7.749
356.0	7.734
358.0	7.710
360.0	7.712
362.0	7.697
364.0	7.704
366.0	7.694
368.0	7.694
370.0	7.678
372.0	7.662
374.0	7.658
376.0	7.653
378.0	7.662
380.0	7.649
382.0	7.648
384.0	7.645
386.0	7.658
388.0	7.669
390.0	7.680
392.0	7.697
394.0	7.712
396.0	7.740
398.0	7.770
400.0	7.804
402.0	7.824
404.0	7.839
406.0	7.833
408.0	7.840
410.0	7.847
412.0	7.868
414.0	7.878
416.0	7.886
418.0	7.897
420.0	7.915
422.0	7.934
424.0	7.958
426.0	7.970
428.0	7.982
430.0	8.002
432.0	8.030
434.0	8.043
436.0	8.057
438.0	8.069
440.0	8.100
442.0	8.111
444.0	8.133
446.0	8.145
448.0	8.170
450.0	8.186
452.0	8.210
454.0	8.220
456.0	8.222
458.0	8.223
460.0	8.226
462.0	8.237
464.0	8.231
466.0	8.232
468.0	8.231
470.0	8.242
472.0	8.241
474.0	8.240
476.0	8.243
478.0	8.244
480.0	8.253
482.0	8.255
484.0	8.249
486.0	8.250
488.0	8.238
490.0	8.232
492.0	8.219
494.0	8.207
496.0	8.203
498.0	8.185
500.0	8.173
502.0	8.157
504.0	8.149
506.0	8.131
508.0	8.120
510.0	8.099
512.0	8.083
514.0	8.057
516.0	8.039
518.0	8.017
520.0	7.999
522.0	7.982
524.0	7.966
526.0	7.948
528.0	7.921
530.0	7.886
532.0	7.858
534.0	7.836
536.0	7.827
538.0	7.816
540.0	7.797
542.0	7.775
544.0	7.750
546.0	7.730
548.0	7.712
550.0	7.701
552.0	7.692
554.0	7.685
556.0	7.667
558.0	7.653
560.0	7.633
562.0	7.623
564.0	7.604
566.0	7.599
568.0	7.587
570.0	7.585
572.0	7.572
574.0	7.563
576.0	7.554
578.0	7.549
580.0	7.539
582.0	7.532
584.0	7.523
586.0	7.520
588.0	7.525
590.0	7.531
592.0	7.534
594.0	7.525
596.0	7.523
598.0	7.525
600.0	7.532
602.0	7.528
604.0	7.528
606.0	7.521
608.0	7.524
610.0	7.520
612.0	7.525
614.0	7.530
616.0	7.530
618.0	7.530
620.0	7.529
622.0	7.536
624.0	7.535
626.0	7.541
628.0	7.540
630.0	7.544
632.0	7.541
634.0	7.548
636.0	7.548
638.0	7.555
640.0	7.552
642.0	7.559
644.0	7.560
646.0	7.568
648.0	7.566
650.0	7.567
652.0	7.559
654.0	7.563
656.0	7.553
658.0	7.554
660.0	7.545
662.0	7.550
664.0	7.547
666.0	7.558
668.0	7.576
670.0	7.596
672.0	7.605
674.0	7.617
676.0	7.621
678.0	7.637
680.0	7.637
682.0	7.634
684.0	7.631
686.0	7.639
688.0	7.658
690.0	7.669
692.0	7.682
694.0	7.681
696.0	7.686
698.0	7.682
700.0	7.692
702.0	7.683
704.0	7.681
706.0	7.674
708.0	7.680
710.0	7.690
712.0	7.709
714.0	7.722
716.0	7.731
718.0	7.734
720.0	7.749
722.0	7.744
724.0	7.762
726.0	7.758
728.0	7.766
730.0	7.752
732.0	7.767
734.0	7.773
736.0	7.790
738.0	7.801
740.0	7.809
742.0	7.808
744.0	7.800
746.0	7.812
748.0	7.813
750.0	7.815
752.0	7.822
754.0	7.826
756.0	7.851
758.0	7.861
760.0	7.870
762.0	7.875
764.0	7.885
766.0	7.907
768.0	7.892
770.0	7.895
772.0	7.878
774.0	7.879
776.0	7.877
778.0	7.882
780.0	7.885
782.0	7.868
784.0	7.877
786.0	7.899
788.0	7.921
790.0	7.919
792.0	7.918
794.0	7.904
796.0	7.920
798.0	7.929
800.0	7.953
802.0	7.946
804.0	7.943
806.0	7.945
808.0	7.968
810.0	7.986
812.0	7.994
814.0	7.987
816.0	7.968
818.0	7.953
820.0	7.967
822.0	7.978
824.0	7.974
826.0	7.966
828.0	7.952
830.0	7.992
832.0	8.006
834.0	8.014
836.0	8.029
838.0	8.036
840.0	8.049
842.0	8.048
844.0	8.048
846.0	8.048
848.0	8.047
850.0	8.046
852.0	8.044
854.0	8.038
856.0	8.034
858.0	8.030
860.0	8.027
862.0	8.024
864.0	8.020
866.0	8.021
868.0	8.019
870.0	8.018
872.0	8.016
874.0	8.018
876.0	8.022
878.0	8.020
880.0	8.020
882.0	8.022
884.0	8.021
886.0	8.023
888.0	8.014
890.0	8.021
892.0	8.021
894.0	8.059
896.0	8.104
898.0	8.150
900.0	8.192
902.0	8.235
904.0	8.276
906.0	8.330
908.0	8.371
910.0	8.413
912.0	8.415
914.0	8.416
916.0	8.415
918.0	8.416
920.0	8.415
922.0	8.416
924.0	8.417
926.0	8.418
928.0	8.420
930.0	8.422
932.0	8.421
934.0	8.427
936.0	8.428
938.0	8.430
940.0	8.431
942.0	8.433
944.0	8.436
946.0	8.440
948.0	8.442
950.0	8.446
952.0	8.445
954.0	8.448
956.0	8.450
958.0	8.455
960.0	8.457
962.0	8.460
964.0	8.460
966.0	8.464
968.0	8.468
970.0	8.469
972.0	8.472
974.0	8.476
976.0	8.476
978.0	8.479
980.0	8.479
982.0	8.483
984.0	8.483
986.0	8.485
988.0	8.488
990.0	8.488
992.0	8.490
994.0	8.490
996.0	8.490
998.0	8.491
1000.0	8.490
1002.0	8.490
1004.0	8.488
1006.0	8.490
1008.0	8.491
1010.0	8.490
1012.0	8.491
1014.0	8.493
1016.0	8.495
1018.0	8.494
1020.0	8.496
1022.0	8.499
1024.0	8.501
1026.0	8.501
1028.0	8.503
1030.0	8.504
1032.0	8.504
1034.0	8.504
1036.0	8.505
1038.0	8.504
1040.0	8.503
1042.0	8.503
1044.0	8.504
1046.0	8.506
1048.0	8.506
1050.0	8.506
1052.0	8.507
1054.0	8.511
1056.0	8.511
1058.0	8.514
1060.0	8.516
1062.0	8.518
1064.0	8.519
1066.0	8.522
1068.0	8.525
1070.0	8.527
1072.0	8.527
1074.0	8.531
1076.0	8.532
1078.0	8.535
1080.0	8.537
1082.0	8.539
1084.0	8.541
1086.0	8.543
1088.0	8.544
1090.0	8.546
1092.0	8.548
1094.0	8.549
1096.0	8.549
1098.0	8.550
1100.0	8.552
1102.0	8.554
1104.0	8.555
1106.0	8.557
1108.0	8.561
1110.0	8.562
1112.0	8.566
1114.0	8.569
1116.0	8.571
1118.0	8.575
1120.0	8.577
1122.0	8.581
1124.0	8.584
1126.0	8.587
1128.0	8.592
1130.0	8.596
1132.0	8.600
1134.0	8.604
1136.0	8.607
1138.0	8.612
1140.0	8.615
1142.0	8.619
1144.0	8.624
1146.0	8.627
1148.0	8.630
1150.0	8.635
1152.0	8.640
1154.0	8.645
1156.0	8.650
1158.0	8.655
1160.0	8.659
1162.0	8.663
1164.0	8.668
1166.0	8.672
1168.0	8.675
1170.0	8.678
1172.0	8.682
1174.0	8.687
1176.0	8.690
1178.0	8.694
1180.0	8.697
1182.0	8.701
1184.0	8.705
1186.0	8.709
1188.0	8.713
1190.0	8.716
1192.0	8.719
1194.0	8.724
1196.0	8.726
1198.0	8.729
1200.0	8.732
1202.0	8.736
1204.0	8.739
1206.0	8.742
1208.0	8.744
1210.0	8.747
1212.0	8.750
1214.0	8.753
1216.0	8.757
1218.0	8.759
1220.0	8.761
1222.0	8.765
1224.0	8.768
